over,short_text,long_text
19.6,"Malinga to Thakur, OUT","Mumbai Indians win IPL 2019! Slower ball, yorker on middle, and the leg-side swipe has been missed by the batsman. Malinga appeals, and umpire Menon raises his finger. Was that going down leg side? We'll never know since Raina had used his review. Lasith Malinga has redeemed himself after that 20-run over."
19.5,"Malinga to Thakur, 2 runs","full toss on leg, and swiped away to deep backward square. Only two. CSK need two off the final ball"
19.4,"Malinga to Watson, 1 run, OUT","yorker, just outside off, and slapped to deep point. Ball races to the fielder in the deep, and they complete an easy single. But wait . Watson wants to come back on strike, and he's run out trying to complete the second run! Great throw from the deep, and terrific work from de Kock. New man in now with Chennai still needing four runs in two balls. Dramatic!"
19.3,"Malinga to Watson, 2 runs","yorker, just outside leg, and hammered to wide long on. They come back for the second"
19.2,"Malinga to Jadeja, 1 run","low full toss on middle, and drilled back to Malinga. He parries the ball to the leg side, and Jadeja scampers across for one"
19.1,"Malinga to Watson, 1 run","yorker, on leg stump, from around the wicket. Toe-ends the drive to long on"
18.6,"Bumrah to Jadeja, 4 byes","would you believe it? Quinton de Kock has let the ball go for four byes! The South African has let this go through. Back of a length, on off, and QdK can't hold on despite Jadeja missing the cut. Oh dear. CSK need 9 off the final over"
18.5,"Bumrah to Jadeja, 2 runs",swung away to the leg side but only to McClenaghan at deep midwicket
18.4,"Bumrah to Jadeja, no run","length ball, just outside off, and Jadeja can't play the cut. Through to the keeper and Bumrah gives the batsman a wry smile"
18.3,"Bumrah to Jadeja, 2 runs","full, just outside off, and he mistimes a slog to fine leg. They run hard, and comfortably complete the second"
18.2,"Bumrah to Bravo, OUT","given! Back of a length on off again, and angling in. This ball, nearly 149kph, snakes off the pitch and takes the outside of Bravo's bat as he tries to loft it over cover. QdK ain't missing that, and Ravindra Jadeja walks in at No. 7"
18.1,"Bumrah to Watson, 1 run","back of a length on middle, and pulled to Krunal at deep midwicket. Watson goes off strike"
17.6,"Krunal to Watson, 1 run","overpitched just outside off, and the slap has been stopped by Kishan at point! Crucial diving stop. That had four written all over it"
17.5,"Krunal to Watson, no run","full, fast, and wide outside off. Left alone by Watson, and not a wide"
17.4,"Krunal to Watson, SIX runs","into the second tier! Full, on middle, and Watson goes down on one knee again before clobbering a leg-side slog over deep midwicket. Watson hurting Mumbai after three dropped chances"
17.3,"Krunal to Watson, SIX runs","over Krunal's head this time! Back of a length on off, and Watson rocks back before lifting a back-foot punch into the sightscreen. Simply amazing. Class is permament, folks"
17.2,"Krunal to Watson, SIX runs","hammered! Full, too wide outside off, and Watson goes down on one knee before clearing a lofted shot over extra cover. There were two boundary-riders on the off side, but neither had any chance"
